,comment,Username,time,like,IDIndex,platform
0,所以之前的视频呢？,阿瞒当娶本初,2023/12/7 20:00,0,2,bilibili
1,正能量要传播，,套娃星系,2023/12/8 7:09,0,2,bilibili
2,现在发的申明和做删帖的做法可是相反的哦，我本来差点信了呢,七个行者,2023/12/6 22:53,0,2,bilibili
3,没流量啊，我在评论区才看到的这事找过来的,终章一,2023/12/7 17:23,0,2,bilibili
4,五月天,74874634358_bili,2023/12/7 19:17,0,2,bilibili
5,在CDT看到的,MetaMiku,2023/12/7 17:28,0,2,bilibili
6,一方有难，八方支援。正能量！,Prime长歌-,2023/12/7 12:29,0,2,bilibili
7,幽默自助,吃亏是福不是祸lk,2023/12/6 20:03,0,2,bilibili
8,堵不如疏吧。。真有什么第一时间澄清，哪怕是负面的人们也习惯了。反而支支吾吾的才会引发争议。,醉月喵,2023/12/15 8:17,0,2,bilibili
9,"所以，花120万包机是真的喽？
有这个家资的，干出这种事也不让人意外啊",AnziDeno,2023/12/6 22:47,0,2,bilibili
10,这帮�，留下我一个在这里感冒！一个月了没挣一分钱。你们都是旅游了啊,去星巴克喝娃哈哈,2023/12/7 19:28,0,2,bilibili
11,谣言止于智者！已举办,鸦森咲羽,2023/12/6 19:59,0,2,bilibili
12,马上就删 最后一条关于这个新闻了,桂uou,2023/12/7 19:20,0,2,bilibili
13,恩将仇报 见利忘义 就是这种人,萧四无先生,2023/12/9 19:38,0,2,bilibili
14,快去看五月天假唱,发条熊-,2023/12/7 0:31,0,2,bilibili
15,令人信服,苹果泡泡水,2023/12/6 19:22,0,2,bilibili
16,什么时候公务员献肾？,ㅡ包薯条嘻嘻,2023/12/7 0:22,0,2,bilibili
17,中山事件彻底无了？,甜尼熊噗,2023/12/7 18:41,0,2,bilibili
18,我是秦始皇，打钱,MetaMiku,2023/12/13 16:27,0,2,bilibili
19,阿里这么牛逼的吗,超高校级的披萨女,2023/12/6 19:21,0,2,bilibili
20,唉马云，唉资本,自律宅楠,2023/12/8 20:57,0,2,bilibili
