,comment,username,time,like
0,"现在杰森的评论区，像极了俄乌赫尔松撤退和红利曼撤退的时候。有玩梗的，有说杰森已经认识到错误改正了的，还有斩钉截铁就说杰森屁股歪的，还有说杰森认错就是因为商单的不是真心认错。

那么杰森到底是怎样一个人呢？我觉得不仅要结合现在的视频来评价他，也要结合以前，更要结合未来的视频。",qemu_mipsel,2023-10-23 22:43,386.0
1,天启四骑士已经全出来了！瘟疫 战争 饥荒 死亡  百年未有之大变局,饭后消息,2023-10-23 20:44,775.0
2,埃及：我已经准备好，以西奈半岛土地换和平了。,Red-Planet,2023-10-23 21:39,178.0
3,"就杰森的视频看下来，我个人认为，以色列在表面上确实是对周边的国土有着极大的想法。但是实操起来，真不好说。

他可以打，但是打不打的下来还是个问题。就加沙的情况来看一旦拖入巷战，就以军步兵目前的战斗力来说，不能说没有胜算，只能说真的很难。2000年后，以色列的军改导致空军远强于其他兵种。
所以，他们表面上说是一回事，做其实又是另一回事。一旦哈马斯成功抵御住一次攻击，后续会怎么样，挨打的是谁，我都不敢想",深圳科技哇,2023-10-24,223.0
4,俄乌呢？西线无战事？,肥龙过海,2023-10-23 20:52,29.0
5,埃及：脚盆，它的下克上，是不是你教的啊,昵称很难找啊,2023-10-23 20:46,11.0
6,1分45秒那块是咋回事，视频剪去了么,Reachhalo,2023-10-23 20:42,30.0
7,"关于以军的军备情况，飞羽社的信息和推断跟这里有较大出入。
按照飞羽社的推断，以军月内的地面进攻能有像样的5-6个满编旅（2-3万人）就不错了。并且以军并没有军改至合成化旅指挥，仍是陆海空各自指挥，还分四个战区司令部…预备役能拉个50万人出来但军备极其缺乏，平均三人分一条枪，每枪只有10发弹药（全部发完不留的情况下）。按照这个军备和指挥情况，别说向北与真主党干大活，能不能以较小的损失推平加沙都是问题…
这个只是飞羽社的信息和推断，不代表一定对。但是这里看起来全无军备问题到处都是可以调度的旅级单位，真相究竟为",金翼之牙丶,2023-10-24,207.0
8,塔利班抗以援巴，不知道是哪个将军,阳凪_,2023-10-23 20:41,331.0
9,最近这几年都不太和平啊,东海-帝王,2023-10-23 20:57,30.0
10,无人机真的改变了好多，让这些小组织都有战斗力了,吐槽站upup,2023-10-23 21:12,214.0
11,塔利班：行政管理太无聊了，还是做点熟悉且热爱的事情吧,DaierG戴尔基,2023-10-23 20:40,4148.0
12,我不是说降智，现在已经是魔幻现实年代了，只比阿里布达年代稍微好一丢丢,魔神魔神魔神魔神魔神,2023-10-23 20:46,155.0
13,杰森是不是把俄乌给忘了…俄乌那边这周没什么战况吗,校草唰唰,2023-10-23 21:02,21.0
14,飞羽社的新视频好好看看吧,一只想独立的雪雪,2023-10-23 20:46,476.0
